"","x"
"1",0.23685
"2",0.0909845
"3",0.278092
"4",0.0111831
"5",0.161892
"6",0.0909812
"7",0.0332103
"8",0.278375
"9",0.0203701
"10",0.437454
"11",0.333444
"12",0.140184
"13",0.158896
"14",0.235436
"15",0.140613
"16",0.0801381
"17",0.211823
"18",0.0561059
"19",0.0895031
"20",0.442519
"21",0.0765694
"22",0.0245598
"23",0.0095264
"24",0.0259137
"25",0.022184
"26",0.526849
"27",0.269543
"28",0.171522
"29",0.322792
"30",0.24354
"31",0.170175
"32",0.150678
"33",0.106052
"34",0.119929
"35",0.0390714
"36",0.0500058
"37",0.157925
"38",0.191637
"39",0.0948703
"40",0.0833493
"41",0.0257269
"42",0.0927478
"43",0.185731
"44",0.182873
"45",0.239166
"46",0.083496
"47",0.134831
"48",0.140413
"49",0.142709
"50",0.0608893
"51",0.287682
"52",0.146252
"53",0.189478
"54",0.821769
"55",0.273283
"56",0.165451
"57",0.223537
"58",0.228806
"59",0.285811
"60",0.138519
"61",0.257369
"62",0.0399972
"63",0.03226
"64",0.116615
"65",0.0119203
"66",0.110622
"67",0.0465074
"68",0.0447461
"69",0.503306
"70",0.275115
"71",0.00802338
"72",0.360595
"73",0.0935733
"74",0.0366257
"75",0.0452741
"76",0.0949974
"77",0.0161534
"78",0.847024
"79",0.0418033
"80",0.106875
"81",0.0714628
"82",0.116813
"83",0.103614
"84",0.202138
"85",0.24128
"86",0.0567418
"87",0.0992213
"88",0.147358
"89",0.328444
"90",0.0651659
"91",0.0733549
"92",0.0373613
"93",0.866998
"94",0.0839116
"95",0.154551
"96",0.0276403
"97",0.118693
"98",0.15055
"99",0.0172645
"100",0.187632
"101",0.124905
"102",0.0648865
"103",0.0670331
"104",0.266207
"105",0.116735
"106",0.0128224
"107",0.110616
"108",0.00829888
"109",0.166685
"110",0.0727281
"111",0.118243
"112",0.669404
"113",0.0335333
"114",0.33567
"115",0.038838
"116",0.0559159
"117",0.145078
"118",0.231045
"119",0.0837551
"120",0.0255362
"121",0.0181145
"122",0.034357
"123",0.0784792
"124",0.373067
"125",0.311862
"126",0.0277418
"127",0.366489
"128",0.0103986
"129",0.0560878
"130",0.113478
"131",0.0340918
"132",0.287741
"133",0.0303767
"134",0.0195682
"135",0.0379446
"136",0.0603505
"137",0.122591
"138",0.157694
"139",0.024427
"140",0.152488
"141",0.0503928
"142",0.0645818
"143",0.208254
"144",0.0588506
"145",0.0791531
"146",0.0202111
"147",0.141439
"148",0.0637169
"149",0.0700943
"150",0.060305
"151",0.0721817
"152",0.190807
"153",0.381495
"154",0.188398
"155",0.0414047
"156",0.181648
"157",0.10749
"158",0.113388
"159",0.111483
"160",0.0994978
"161",0.815108
"162",0.0286266
"163",0.0907647
"164",0.0157148
"165",0.0310923
"166",0.0480467
"167",0.0944629
"168",0.12602
"169",0.0540098
"170",0.543446
"171",0.404646
"172",0.360174
"173",0.269813
"174",0.0838527
"175",0.0477206
"176",0.470311
"177",0.26117
"178",0.0390226
"179",0.0329205
"180",0.268488
"181",0.0850181
"182",0.409901
"183",0.106728
"184",0.0270115
"185",0.95782
"186",0.0477573
"187",0.0424058
"188",0.0722692
"189",0.142886
"190",0.409734
"191",0.0933637
"192",0.122134
"193",0.263968
"194",0.378783
"195",0.00972704
"196",0.132337
"197",0.0196471
"198",0.0897325
"199",0.0630781
"200",0.0585693
"201",0.142212
"202",0.388582
"203",0.0143273
"204",0.0464181
"205",0.0614884
"206",0.0964195
"207",0.0980187
"208",0.0957593
"209",0.0396022
"210",0.0514864
"211",0.231165
"212",0.101849
"213",0.39494
"214",0.0444162
"215",0.103489
"216",0.307341
"217",0.00327952
"218",0.126904
"219",0.15001
"220",0.365335
"221",0.0657117
"222",0.0667417
"223",0.0515386
"224",0.301348
"225",0.471818
"226",0.0522542
"227",0.136019
"228",0.23419
"229",0.0822927
"230",0.553394
"231",0.717658
"232",0.0456567
"233",0.0192849
"234",0.337531
"235",0.0754337
"236",0.267392
"237",0.215625
"238",0.116112
"239",0.801814
"240",0.238596
"241",0.437202
"242",0.0945949
"243",0.075959
"244",0.00499987
"245",0.2214
"246",0.0131785
"247",0.332419
"248",0.0934828
"249",0.00938964
"250",0.0230431
"251",0.0725756
"252",0.102206
"253",0.156181
"254",0.0637342
"255",0.132114
"256",0.121367
"257",0.142184
"258",0.127062
"259",0.224729
"260",0.252119
"261",0.130092
"262",0.0526777
"263",0.00429316
"264",0.0704067
"265",0.151819
"266",0.137267
"267",0.175839
"268",0.0715841
"269",0.341959
"270",0.077447
"271",0.238014
"272",0.0673138
"273",0.00927551
"274",0.0328275
"275",0.203804
"276",0.162561
"277",0.166998
"278",0.174859
"279",0.0877044
"280",0.0208389
"281",0.130672
"282",0.0567741
"283",0.364982
"284",0.0340931
"285",0.074699
"286",0.0641564
"287",0.0800915
"288",0.233245
"289",0.0833154
"290",0.129197
"291",0.0629829
"292",0.269071
"293",0.0227624
"294",0.0622489
"295",0.0167884
"296",0.0417561
"297",0.17722
"298",0.0246175
"299",0.0759563
"300",0.364218
"301",0.0215586
"302",0.133773
"303",0.0813894
"304",0.0315452
"305",0.020501
"306",0.0272357
"307",0.0566414
"308",0.134137
"309",0.338449
"310",0.195935
"311",0.212505
"312",0.145305
"313",0.0139024
"314",0.0754892
"315",0.272441
"316",0.0686894
"317",0.0103235
"318",0.0146124
"319",0.0702778
"320",0.0300987
"321",0.0441231
"322",0.0682516
"323",0.0644037
"324",0.540224
"325",0.0194915
"326",0.147051
"327",0.078669
"328",0.131305
"329",0.177209
"330",0.0962556
"331",0.0222043
"332",0.0907038
"333",0.13586
"334",0.120926
"335",0.0341056
"336",0.0617809
"337",0.0998464
"338",0.132047
"339",0.0729995
"340",0.10974
"341",0.217683
"342",0.121595
"343",0.572863
"344",0.12403
"345",0.0227145
"346",0.0296585
"347",0.391618
"348",0.14453
"349",0.421239
"350",0.152452
"351",0.176614
"352",0.311582
"353",0.0263149
"354",0.344474
"355",0.349963
"356",0.299234
"357",0.059821
"358",0.0861294
"359",0.236883
"360",0.0132753
"361",0.881799
"362",0.164907
"363",0.308888
"364",0.172591
"365",0.0974247
"366",0.0483194
"367",0.0344156
"368",0.105565
"369",0.0190239
"370",0.0388675
"371",0.187103
"372",0.0678555
"373",0.320428
"374",0.191195
"375",0.442824
"376",0.0600212
"377",0.109412
"378",0.198257
"379",0.324113
"380",0.0257604
"381",0.254755
"382",0.151479
"383",0.212227
"384",0.0902054
"385",0.0428693
"386",0.0998985
"387",0.240885
"388",0.0135091
"389",0.0311153
"390",0.233365
"391",0.009875
"392",0.0765281
"393",0.153107
"394",0.168502
"395",0.00780409
"396",0.195303
"397",0.22874
"398",0.124037
"399",0.0345372
"400",0.267584
"401",0.105937
"402",0.112825
"403",0.155685
"404",0.153038
"405",0.018603
"406",0.0839233
"407",0.414437
"408",0.0344795
"409",0.0318082
"410",0.220862
"411",0.158451
"412",0.0472876
"413",0.165708
"414",0.13177
"415",0.150784
"416",0.104681
"417",0.0190919
"418",0.379355
"419",0.0454155
"420",0.150311
"421",0.599652
"422",0.0495814
"423",0.191019
"424",0.122492
"425",0.168187
"426",0.0523795
"427",0.0677196
"428",0.0920951
"429",0.0100063
"430",0.180218
"431",0.0267234
"432",0.0493529
"433",0.250788
"434",0.00796675
"435",0.163603
"436",0.0335737
"437",0.0279299
"438",0.131306
"439",0.192948
"440",0.0280816
"441",0.394258
"442",0.0337742
"443",0.144157
"444",0.0391091
"445",0.312053
"446",0.186782
"447",0.355634
"448",0.0737571
"449",0.0791891
"450",0.187339
"451",0.0653536
"452",0.390162
"453",0.389403
"454",0.127021
"455",0.0415668
"456",0.220488
