"","x"
"1",0.64934
"2",0.288339
"3",0.525358
"4",0.31789
"5",0.459061
"6",0.041936
"7",0.035605
"8",0.134402
"9",0.359774
"10",0.478971
"11",0.547321
"12",0.527559
"13",0.162212
"14",0.300858
"15",0.155735
"16",0.84821
"17",0.167082
"18",0.020643
"19",0.125878
"20",1.57238
"21",0.0654239
"22",0.470047
"23",0.0871523
"24",1.7535
"25",0.0630047
"26",0.393263
"27",0.110251
"28",0.180401
"29",1.15854
"30",0.394602
"31",0.508655
"32",0.617303
"33",1.38423
"34",0.350305
"35",0.171369
"36",0.189315
"37",0.331109
"38",0.0385519
"39",0.373859
"40",0.344244
"41",0.418591
"42",0.113113
"43",1.07908
"44",0.0195827
"45",0.0560405
"46",0.667062
"47",0.851481
"48",0.253381
"49",0.865193
"50",0.237853
"51",0.748199
"52",0.784385
"53",0.734803
"54",0.407958
"55",0.677107
"56",0.287189
"57",0.364775
"58",0.513617
"59",0.020072
"60",0.138519
"61",0.148203
"62",0.117561
"63",0.824611
"64",0.0230433
"65",0.0602191
"66",0.0308258
"67",0.179663
"68",0.0688742
"69",0.678914
"70",0.200638
"71",0.240786
"72",0.0223569
"73",0.0703018
"74",0.0888249
"75",0.374239
"76",0.557405
"77",0.652437
"78",0.605212
"79",0.249336
"80",0.143354
"81",0.751815
"82",1.6232
"83",0.507316
"84",0.286213
"85",0.404197
"86",0.0654378
"87",1.65989
"88",0.345927
"89",0.457765
"90",0.0599259
"91",0.126492
"92",0.206055
"93",1.51079
"94",0.902169
"95",0.137367
"96",2.20249
"97",0.827257
"98",0.447033
"99",0.122435
"100",0.0847595
"101",0.10643
"102",0.713819
"103",0.0161487
"104",0.0383262
"105",0.24417
"106",0.4889
"107",0.221176
"108",0.158047
"109",0.0566557
"110",0.482169
"111",0.699243
"112",0.94428
"113",0.0274483
"114",0.0701585
"115",0.127317
"116",0.30206
"117",0.531319
"118",0.18407
"119",0.16382
"120",0.509824
"121",0.260834
"122",0.25331
"123",0.0231295
"124",0.633314
"125",0.0288448
"126",0.0387474
"127",0.0143491
"128",1.94947
"129",0.0395392
"130",0.199667
"131",0.245963
"132",0.72758
"133",0.0303767
"134",0.75433
"135",0.0672232
"136",0.0603505
"137",0.235393
"138",0.323017
"139",0.476723
"140",0.214501
"141",0.526636
"142",0.0461912
"143",0.198334
"144",0.165763
"145",0.240058
"146",0.149028
"147",0.0440314
"148",0.408134
"149",0.127277
"150",0.0213875
"151",0.442442
"152",0.263775
"153",0.0735675
"154",0.140008
"155",0.00862786
"156",0.0661585
"157",0.562117
"158",0.186
"159",0.158682
"160",0.605541
"161",0.244447
"162",0.0378739
"163",0.427464
"164",0.3427
"165",0.701199
"166",0.740394
"167",0.150571
"168",0.0948108
"169",0.383496
"170",0.0499533
"171",0.0198253
"172",0.0101019
"173",0.237533
"174",0.136564
"175",0.120554
"176",0.431727
"177",0.222816
"178",0.372335
"179",0.312328
"180",0.292522
"181",0.313663
"182",0.0269381
"183",0.369846
"184",1.06675
"185",0.118175
"186",0.0477573
"187",0.41682
"188",1.20791
"189",0.444203
"190",0.196506
"191",0.645198
"192",0.0411763
"193",0.0918722
"194",0.210553
"195",0.111573
"196",0.225446
"197",0.0465558
"198",0.668438
"199",0.848409
"200",0.105583
"201",0.216157
"202",0.447764
"203",0.131873
"204",0.0366658
"205",0.491248
"206",0.0563816
"207",0.0226191
"208",1.01856
"209",0.809464
"210",0.266965
"211",0.910734
"212",0.392327
"213",0.409064
"214",0.353419
"215",1.02078
"216",0.403708
"217",1.97369
"218",0.0200808
"219",0.0705613
"220",0.796241
"221",0.160552
"222",0.574932
"223",0.195924
"224",1.04843
"225",0.461236
"226",1.09422
"227",0.187728
"228",0.218508
"229",0.0822927
"230",0.6101
"231",0.649363
"232",0.247135
"233",0.421478
"234",0.00309516
"235",1.33024
"236",0.160914
"237",0.181178
"238",0.0734188
"239",0.0577195
"240",0.845495
"241",0.107725
"242",0.0833099
"243",0.317779
"244",0.0753689
"245",0.51255
"246",0.0346971
"247",0.506822
"248",0.10138
"249",0.271793
"250",0.11279
"251",1.2976
"252",0.148426
"253",0.0259649
"254",0.565534
"255",0.130195
"256",1.97783
"257",0.442634
"258",0.105811
"259",0.133269
"260",0.0880025
"261",0.5822
"262",0.590428
"263",0.00429316
"264",0.022349
"265",0.231549
"266",0.221199
"267",0.258855
"268",0.0401824
"269",0.331634
"270",0.66186
"271",0.0671136
"272",0.3681
"273",0.679879
"274",0.148427
"275",0.0743155
"276",0.247218
"277",0.999184
"278",1.27376
"279",0.266498
"280",0.0356118
"281",0.101149
"282",0.698605
"283",0.102879
"284",0.397663
"285",1.26136
"286",0.231416
"287",0.127445
"288",0.810997
"289",0.108155
"290",0.250047
