"","x"
"1",0.192852
"2",0.0424684
"3",0.00180278
"4",0.210517
"5",0.102559
"6",0.0581991
"7",0.0166883
"8",0.0123931
"9",0.00614007
"10",0.216013
"11",0.26162
"12",0.299886
"13",0.0212902
"14",0.0551794
"15",0.0252076
"16",0.0178896
"17",0.0218109
"18",0.0414768
"19",0.0238692
"20",0.0684756
"21",0.175755
"22",0.0421241
"23",0.0877191
"24",0.0454585
"25",0.0346635
"26",0.00913486
"27",0.147864
"28",0.0432242
"29",0.0228138
"30",0.0342438
"31",0.188514
"32",0.0473229
"33",0.526456
"34",0.0223316
"35",0.0283136
"36",0.0370405
"37",0.166308
"38",0.0470314
"39",0.172734
"40",0.134833
"41",0.00973392
"42",0.0930861
"43",0.0121856
"44",0.0311675
"45",0.0888556
"46",0.0191122
"47",0.019308
"48",0.0169269
"49",0.00664446
"50",0.151424
"51",0.0976487
"52",0.0528076
"53",0.119217
"54",0.0217273
"55",0.10468
"56",0.00845034
"57",0.03776
"58",0.0826659
"59",0.172766
"60",0.00532665
"61",0.0615046
"62",0.122208
"63",0.21444
"64",0.147079
"65",0.00751885
"66",0.0334713
"67",0.0618502
"68",0.058104
"69",0.0227333
"70",0.318264
"71",0.0226192
"72",0.00899638
"73",0.0895057
"74",0.00619176
"75",0.0452741
"76",0.0272017
"77",0.0329698
"78",0.0428797
"79",0.0666862
"80",0.0398175
"81",0.0218167
"82",0.00708231
"83",0.0601492
"84",0.204484
"85",0.0615795
"86",0.0650804
"87",0.171241
"88",0.0197957
"89",0.108691
"90",0.10424
"91",0.242435
"92",0.014837
"93",0.0542207
"94",0.053774
"95",0.026238
"96",0.0228641
"97",0.0598846
"98",0.0206367
"99",0.0338872
"100",0.040545
"101",0.0332181
"102",0.144106
"103",0.0737783
"104",0.0313857
"105",0.00984978
"106",0.0556555
"107",0.0796727
"108",0.0944143
"109",0.163864
"110",0.135509
"111",0.015247
"112",0.178571
"113",0.112432
"114",0.129082
"115",0.101255
"116",0.124768
"117",0.0710233
"118",0.15445
"119",0.0598512
"120",0.0274243
"121",0.16623
"122",0.0480341
"123",0.0075559
"124",0.174156
"125",0.0442342
"126",0.0275519
"127",0.00347145
"128",0.0601285
"129",0.0939889
"130",0.0485768
"131",0.0318454
"132",0.031228
"133",0.0303767
"134",0.226271
"135",0.0944907
"136",0.0603505
"137",0.0155379
"138",0.157053
"139",0.0458184
"140",0.305838
"141",0.0805246
"142",0.15363
"143",0.0184412
"144",0.0580788
"145",0.0467394
"146",0.0891244
"147",0.046522
"148",0.227017
"149",0.00881392
"150",0.0312295
"151",0.377259
"152",0.0643143
"153",0.0867992
"154",0.0822012
"155",0.016395
"156",0.211551
"157",0.0224494
"158",0.0328652
"159",0.0847948
"160",0.00436884
"161",0.0594658
"162",0.0242303
"163",0.0827555
"164",0.0326246
"165",0.0913604
"166",0.0169655
"167",0.0446551
"168",0.0135983
"169",0.0326638
"170",0.402334
"171",0.120099
"172",0.0995636
"173",0.00371033
"174",0.0861167
"175",0.0497255
"176",0.0318598
"177",0.0940269
"178",0.0929607
"179",0.0336659
"180",0.0640507
"181",0.0359472
"182",0.0780222
"183",0.0194959
"184",0.00733699
"185",0.182021
"186",0.0204641
"187",0.0838207
"188",0.0272842
"189",0.019868
"190",0.0157749
"191",0.0584737
"192",0.0104595
"193",0.0109903
"194",0.0267669
"195",0.0953312
"196",0.089179
"197",0.107216
"198",0.0157304
"199",0.16268
"200",0.0235854
"201",0.0674906
"202",0.0444749
"203",0.0638194
"204",0.13603
"205",0.0722848
"206",0.166844
"207",0.197009
"208",0.0364893
"209",0.0305188
"210",0.0619175
"211",0.167989
"212",0.0448251
"213",0.0766432
"214",0.127348
"215",0.0811345
"216",0.0429794
"217",0.0374446
"218",0.00928226
"219",0.103569
"220",0.189909
"221",0.161123
"222",0.0388217
"223",0.0100168
"224",0.0298107
"225",0.0945935
"226",0.150179
"227",0.0790452
"228",0.0670689
"229",0.00366967
"230",0.0541739
"231",0.0260781
"232",0.0343002
"233",0.116077
"234",0.165603
"235",0.0845635
"236",0.0488615
"237",0.0333681
"238",0.106574
"239",0.147096
"240",0.030458
"241",0.123814
"242",0.0196906
"243",0.0624775
"244",0.0361447
"245",0.0719761
"246",0.0629733
"247",0.04874
"248",0.0226087
"249",0.0467787
"250",0.0519491
"251",0.0272565
"252",0.0284157
"253",0.0312099
"254",0.0733307
"255",0.0308937
"256",0.121367
"257",0.0155167
"258",0.062285
"259",0.0357082
"260",0.131247
"261",0.0436991
"262",0.0514026
"263",0.0760637
"264",0.128966
"265",0.190692
"266",0.0447629
"267",0.0302663
"268",0.0311759
"269",0.0186403
"270",0.029872
"271",0.0329743
"272",0.0137082
"273",0.0945495
"274",0.0481173
"275",0.0987514
"276",0.0630486
"277",0.0232096
"278",0.0327282
"279",0.016221
"280",0.0980778
"281",0.180484
"282",0.0366467
"283",0.120307
"284",0.0709174
"285",0.108244
"286",0.169408
"287",0.223909
"288",0.0230716
"289",0.0454834
"290",0.12115
"291",0.124687
"292",0.025932
"293",0.0519764
"294",0.00137151
"295",0.0513973
"296",0.0769812
"297",0.177019
"298",0.0246175
"299",0.0108779
"300",0.11619
"301",0.108197
"302",0.0413834
"303",0.0933871
"304",0.0492336
"305",0.00841105
"306",0.0208824
"307",0.0318499
"308",0.096958
"309",0.0677529
"310",0.015142
"311",0.0374188
"312",0.163562
"313",0.220919
"314",0.0107688
"315",0.0410548
"316",0.0331193
"317",0.25954
"318",0.0266241
"319",0.058717
"320",0.0133656
"321",0.0441231
"322",0.198257
"323",0.0689312
"324",0.0110028
"325",0.0541809
"326",0.0941736
"327",0.0551673
"328",0.0296431
"329",0.0105387
"330",0.0677165
"331",0.00475324
"332",0.0519366
"333",0.0915813
"334",0.0715229
"335",0.0329528
"336",0.151012
"337",0.122138
"338",0.0515709
"339",0.0611281
"340",0.0226644
"341",0.076842
"342",0.0947733
"343",0.0658397
"344",0.0177557
"345",0.0899152
"346",0.105909
"347",0.0574689
"348",0.0391564
"349",0.0271202
"350",0.11666
"351",0.0139368
"352",0.0388601
"353",0.0247884
"354",0.0677833
"355",0.0819338
"356",0.0608931
"357",0.157883
"358",0.014581
"359",0.0925086
"360",0.0372237
"361",0.193063
"362",0.0329221
"363",0.1406
"364",0.0496974
"365",0.0282218
"366",0.302285
"367",0.0644668
"368",0.0539028
"369",0.293892
"370",0.0730862
"371",0.103875
"372",0.169066
"373",0.13219
"374",0.0774636
"375",0.0420271
"376",0.0440878
"377",0.162355
"378",0.0171183
"379",0.0745328
"380",0.056744
"381",0.00268499
"382",0.135699
"383",0.0811245
"384",0.0668368
"385",0.246492
"386",0.229847
"387",0.0274823
"388",0.0826328
"389",0.0238068
"390",0.0499641
"391",0.124928
"392",0.0385523
"393",0.0491718
"394",0.0553223
"395",0.0201106
"396",0.0174344
"397",0.0490391
"398",0.0726604
"399",0.0341063
"400",0.0528628
"401",0.017676
"402",0.0581067
"403",0.160465
"404",0.0809814
"405",0.0941536
"406",0.0186674
"407",0.0412256
"408",0.0403594
"409",0.0967689
"410",0.0354171
"411",0.0248647
"412",0.0579876
"413",0.073137
"414",0.0584449
"415",0.0662556
"416",0.210007
"417",0.026859
"418",0.104406
"419",0.0835848
"420",0.0312006
"421",0.0165369
"422",0.114336
"423",0.037421
"424",0.125522
"425",0.0486422
"426",0.134613
"427",0.0344317
"428",0.035083
"429",0.00821194
"430",0.135942
"431",0.0491559
"432",0.122429
"433",0.107582
"434",0.0215339
"435",0.0272861
"436",0.0273362
"437",0.0356832
"438",0.033905
"439",0.00141049
"440",0.0786844
"441",0.085362
"442",0.0982627
"443",0.0303873
"444",0.123965
"445",0.0468811
"446",0.0430949
