"","x"
"372",0.0358134
"373",0.0476207
"374",0.21787
"375",0.0513414
"376",0.0418368
"377",0.112324
"378",0.210442
"379",0.24062
"380",0.0378834
"381",0.166582
"382",0.0302596
"383",0.055841
"384",0.0641327
"385",0.0224672
"386",0.0094275
"387",0.0424436
"388",0.123913
"389",0.236341
"390",0.048357
"391",0.031776
"392",0.0310059
"393",0.0132709
"394",0.063669
"395",0.0877831
"396",0.100277
"397",0.278196
"398",0.214432
"399",0.0477737
"400",0.0708426
"401",0.0299448
"402",0.0838259
"403",0.121032
"404",0.102092
"405",0.157231
"406",0.0186674
"407",0.0985044
"408",0.0449295
"409",0.235362
"410",0.202549
"411",0.0797914
"412",0.0166202
"413",0.0763035
"414",0.0698943
"415",0.109174
"416",0.0755705
"417",0.0234147
"418",0.0503144
"419",0.0543066
"420",0.0823487
"421",0.0144976
"422",0.0435823
"423",0.216592
"424",0.0366697
"425",0.0168214
"426",0.0101951
"427",0.105408
"428",0.0950044
"429",0.407392
"430",0.00720826
"431",0.0462394
"432",0.0564902
"433",0.00588098
"434",0.048733
"435",0.0468703
"436",0.0231793
"437",0.14578
"438",0.149069
"439",0.204429
"440",0.0709524
"441",0.06055
"442",0.0967071
"443",0.110756
"444",0.019293
"445",0.0252491
"446",0.0430949
"447",0.151518
"448",0.0737571
"449",0.151875
"450",0.102666
"451",0.0838589
"452",0.292726
"453",0.01453
"454",0.0361548
"455",0.0440861
"456",0.065084
"457",0.102942
"458",0.049562
"459",0.0584966
"460",0.101085
"461",0.0903422
"462",0.0464269
"463",0.0779165
"464",0.0352645
"465",0.132655
"466",0.0388117
"467",0.00557452
"468",0.144303
"469",0.0707219
"470",0.0824023
"471",0.0886603
"472",0.0106469
"473",0.102271
"474",0.109425
"475",0.116465
"476",0.0262191
"477",0.129273
"478",0.012936
"479",0.068963
"480",0.153643
"481",0.0700198
"482",0.0304337
"483",0.0720297
"484",0.0176753
"485",0.0422006
"486",0.0139324
"487",0.146598
"488",0.0646662
"489",0.0188121
"490",0.0306196
"491",0.263173
"492",0.0497369
"493",0.0711838
"494",0.146579
"495",0.0247343
"496",0.109077
"497",0.173077
"498",0.0799555
"499",0.0307032
"500",0.10794
"501",0.0139568
"502",0.00497618
"503",0.0253091
"504",0.0892004
"505",0.0670532
"506",0.208521
"507",0.0730932
"508",0.0459521
"509",0.0407974
