,iat,lt,tot,pt,name,cmean,cEffCount,cvar,upper,lower,error
0,60.0,15.0,15.0,60.0,AirportResponseTime:vector,120.17352405750357,3999.8032227561025,5960.582761875591,122.56614081019464,117.7809073048125,4.785233505382138
1,60.0,15.0,15.0,60.0,DepartQueueSize:vector,0.6704401111890361,3149.0417462986316,0.899801374308607,0.7035709329520425,0.6373092894260297,0.06626164352601283
2,60.0,15.0,15.0,60.0,DepartQueueWaitingTime:vector,15.092576431361564,2806.2182374304084,680.7512303283804,16.057919287714792,14.127233575008336,1.930685712706456
3,60.0,15.0,15.0,60.0,HoldingQueueSize:vector,0.6716846845730594,3244.21478741797,0.901450903750419,0.7043558277205862,0.6390135414255326,0.06534228629505368
4,60.0,15.0,15.0,60.0,HoldingQueueWaitingTime:vector,15.132697968343807,2831.5849708732194,683.7298018193187,16.095807202237573,14.169588734450043,1.92621846778753
5,60.0,15.0,15.0,60.0,ParkedPlanes:vector,1.5004296171622884,3301.1892787904003,1.2470750517387996,1.5385238448791951,1.4623353894453817,0.07618845543381347
6,60.0,15.0,15.0,90.0,AirportResponseTime:vector,150.10103278678753,4564.008306316715,10352.117352282505,153.05285006973472,147.14921550384034,5.903634565894379
7,60.0,15.0,15.0,90.0,DepartQueueSize:vector,0.6690506549047203,3213.063519671937,0.8898139873729982,0.701667206984972,0.6364341028244686,0.06523310416050343
8,60.0,15.0,15.0,90.0,DepartQueueWaitingTime:vector,15.061812556450846,2842.3164905627677,678.2339595404568,16.019230669116688,14.104394443785004,1.9148362253316833
9,60.0,15.0,15.0,90.0,HoldingQueueSize:vector,0.6691310751640405,3291.6282393770275,0.8903619748040976,0.7013659511162446,0.6368961992118364,0.06446975190440818
10,60.0,15.0,15.0,90.0,HoldingQueueWaitingTime:vector,15.07283811250635,2868.503623498552,677.1028917430009,16.025080970153276,14.120595254859424,1.904485715293852
11,60.0,15.0,15.0,90.0,ParkedPlanes:vector,2.002840037112379,3836.9729152469645,1.7489028659118215,2.044684362343172,1.9609957118815857,0.08368865046158636
12,60.0,15.0,30.0,60.0,AirportResponseTime:vector,234.29128923471387,1273.4988412323657,28186.219256467237,243.51206003433612,225.07051843509163,18.441541599244488
13,60.0,15.0,30.0,60.0,DepartQueueSize:vector,1.5775677422301233,1399.9030263630614,3.4617260279628588,1.67503201834183,1.4801034661184167,0.1949285522234132
14,60.0,15.0,30.0,60.0,DepartQueueWaitingTime:vector,62.59656314430705,1302.6167938529634,6917.364736352733,67.11314715087197,58.079979137742136,9.033168013129831
15,60.0,15.0,30.0,60.0,HoldingQueueSize:vector,1.7012793930215444,1488.5689484810769,3.802451531677526,1.8003387391183925,1.6022200469246963,0.19811869219369616
16,60.0,15.0,30.0,60.0,HoldingQueueWaitingTime:vector,66.76281766880224,1311.1579748310965,7255.953814872865,71.37352796857672,62.15210736902775,9.22142059954897
17,60.0,15.0,30.0,60.0,ParkedPlanes:vector,1.5994418829440002,3565.062361955067,1.4265790017551834,1.6386487769914597,1.5602349888965408,0.07841378809491895
18,60.0,15.0,30.0,90.0,AirportResponseTime:vector,267.4544985864159,1430.5316078302826,33919.18356365671,276.9983145719341,257.91068260089776,19.08763197103633
19,60.0,15.0,30.0,90.0,DepartQueueSize:vector,1.6075776236626702,1365.5016137137384,3.5853560567391947,1.7080087024744783,1.507146544850862,0.20086215762361626
20,60.0,15.0,30.0,90.0,DepartQueueWaitingTime:vector,64.31687069405035,1291.8584662732192,7324.6980365179425,68.9838458166282,59.6498955714725,9.333950245155705
21,60.0,15.0,30.0,90.0,HoldingQueueSize:vector,1.7317951047362607,1442.3711458566058,3.9783709910653573,1.8347299030287991,1.6288603064437224,0.20586959658507675
22,60.0,15.0,30.0,90.0,HoldingQueueWaitingTime:vector,68.20913019976408,1303.6705880570994,7655.0674325613,72.95852932130822,63.45973107821993,9.498798243088288
23,60.0,15.0,30.0,90.0,ParkedPlanes:vector,2.096918050988692,3780.270173636219,1.9584044126960969,2.1415286300602205,2.0523074719171635,0.08922115814305709
24,60.0,30.0,15.0,60.0,AirportResponseTime:vector,263.9028840062363,1136.4088544079762,42019.719406394725,275.82099321259415,251.9847747998785,23.836218412715652
25,60.0,30.0,15.0,60.0,DepartQueueSize:vector,1.9961033432703243,1253.5278547235707,5.251744469316057,2.1229657335636682,1.8692409529769805,0.2537247805866878
26,60.0,30.0,15.0,60.0,DepartQueueWaitingTime:vector,80.62936064349638,1172.6202443202983,10789.111768139264,86.57450279457393,74.68421849241884,11.890284302155095
27,60.0,30.0,15.0,60.0,HoldingQueueSize:vector,1.9251585014782011,1240.1796764999344,5.077163284275835,2.050563934284684,1.7997530686717178,0.2508108656129664
28,60.0,30.0,15.0,60.0,HoldingQueueWaitingTime:vector,78.31880412058888,1166.0136542984797,10581.908751929079,84.22323821143557,72.41437002974219,11.808868181693384
29,60.0,30.0,15.0,60.0,ParkedPlanes:vector,1.456623145638227,3182.424590614375,1.1784535987829716,1.4943391149525516,1.4189071763239025,0.07543193862864905
30,60.0,30.0,15.0,90.0,AirportResponseTime:vector,293.2986885263921,1265.301256273557,45701.97282227474,305.0779644561843,281.51941259659986,23.55855185958444
31,60.0,30.0,15.0,90.0,DepartQueueSize:vector,1.9900795203466115,1262.9689620089873,5.252598556944119,2.116477128903982,1.8636819117892411,0.25279521711474073
32,60.0,30.0,15.0,90.0,DepartQueueWaitingTime:vector,80.32840586079897,1198.024369071101,10780.745961163468,86.20789606520023,74.4489156563977,11.758980408802529
33,60.0,30.0,15.0,90.0,HoldingQueueSize:vector,1.9190893293278095,1249.6333870769772,5.0451672593443355,2.043625229822254,1.7945534288333647,0.24907180098888948
