time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
427,0.096037
428,0.0861569
429,0.0918676
430,0.11027
431,0.103625
432,0.0993346
433,0.102568
434,0.0909842
435,0.0931852
436,0.099189
437,0.11753
438,0.115033
439,0.107983
440,0.0937808
441,0.0932204
442,0.116035
443,0.105841
444,0.112391
445,0.139437
446,0.140992
447,0.11827
448,0.116725
449,0.0920218
450,0.106075
451,0.0951078
452,0.072796
453,0.0779805
454,0.0983619
455,0.0939317
456,0.130209
457,0.11291
458,0.134631
459,0.112612
460,0.100222
461,0.120155
462,0.121782
463,0.11833
464,0.118372
465,0.113604
466,0.152697
467,0.139572
468,0.131183
469,0.133731
470,0.120943
471,0.113871
472,0.110745
473,0.176788
474,0.165864
475,0.158592
476,0.146093
477,0.166849
478,0.155014
479,0.146103
480,0.136482
481,0.124933
482,0.15395
483,0.148477
484,0.149469
485,0.168212
486,0.168451
487,0.1776
488,0.158136
489,0.145222
490,0.147486
491,0.147313
492,0.135467
493,0.154563
494,0.144267
495,0.131401
496,0.129474
497,0.130339
498,0.103992
499,0.0988709
500,0.118331
501,0.112047
502,0.12001
503,0.126727
504,0.121278
505,0.113674
506,0.115672
507,0.130241
508,0.127361
509,0.114722
510,0.109303
511,0.110728
512,0.0925296
513,0.089378
514,0.0864756
515,0.072554
516,0.0717747
517,0.0601853
518,0.0557692
519,0.069062
520,0.076167
521,0.0668965
522,0.0629118
523,0.0807947
524,0.0845083
525,0.0670321
526,0.0646409
527,0.0646931
528,0.0574403
529,0.0675247
530,0.07382
531,0.0610014
532,0.0954284
533,0.0768708
534,0.074177
535,0.061284
536,0.0732729
537,0.0866741
538,0.0707852
539,0.074318
540,0.0853822
541,0.0727558
542,0.0814084
543,0.0863161
544,0.0822214
545,0.120646
546,0.117009
547,0.121666
548,0.108606
549,0.105438
550,0.0964234
551,0.0838229
552,0.0808884
553,0.0953857
554,0.0901471
555,0.0710096
556,0.0700471
557,0.0596041
558,0.0596317
559,0.0573049
560,0.0428917
561,0.0544894
562,0.075615
563,0.083804
564,0.0742935
565,0.0982341
566,0.0959955
567,0.0788212
568,0.08918
569,0.0960701
570,0.109953
571,0.116404
572,0.125018
573,0.115108
574,0.108734
575,0.123348
576,0.124409
