time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
0,0.044629
1,0.0896715
2,0.100544
3,0.0820032
4,0.0856013
5,0.111501
6,0.125995
7,0.131347
8,0.14244
9,0.117247
10,0.0913215
11,0.093157
12,0.1196
13,0.10567
14,0.0997438
15,0.104245
16,0.104314
17,0.12323
18,0.136701
19,0.137289
20,0.11704
21,0.130534
22,0.124296
23,0.118981
24,0.112392
25,0.109412
26,0.106857
27,0.0880637
28,0.0969071
29,0.114
30,0.119042
31,0.11413
32,0.114574
33,0.106344
34,0.0940688
35,0.0967919
36,0.0905885
37,0.101429
38,0.119094
39,0.0963134
40,0.0893875
41,0.103783
42,0.118753
43,0.133552
44,0.112511
45,0.117727
46,0.116686
47,0.139433
48,0.1162
49,0.124479
50,0.111975
51,0.10024
52,0.120021
53,0.108934
54,0.115661
55,0.114559
56,0.121154
57,0.141146
58,0.138359
59,0.154102
60,0.160419
61,0.166327
62,0.169163
63,0.15347
64,0.136898
65,0.125342
66,0.0996861
67,0.0942422
68,0.0897278
69,0.115644
70,0.122932
71,0.13541
72,0.112183
73,0.130473
74,0.143008
75,0.14757
76,0.145901
77,0.14199
78,0.141849
79,0.129527
80,0.136294
81,0.147257
82,0.159435
83,0.179535
84,0.178908
85,0.177305
86,0.169229
87,0.150208
88,0.136487
89,0.122703
90,0.122885
91,0.122272
92,0.107829
93,0.104048
94,0.105954
95,0.122306
96,0.117553
97,0.117214
98,0.0880746
99,0.0654706
100,0.0720881
101,0.0642863
102,0.0559371
103,0.0570214
104,0.0573686
105,0.0654112
106,0.0557277
107,0.0704663
108,0.0714724
109,0.066452
110,0.0646597
111,0.0895518
112,0.1121
113,0.10516
114,0.0965771
115,0.101152
116,0.0887894
117,0.10851
118,0.114483
119,0.105813
120,0.12484
121,0.112471
122,0.12104
123,0.113617
124,0.112875
125,0.109558
126,0.100461
127,0.0753518
128,0.0868485
129,0.0977507
130,0.0877736
131,0.0859615
132,0.0761108
133,0.0762954
134,0.0775464
135,0.0906047
136,0.0759022
137,0.0695805
138,0.0773695
139,0.0753654
140,0.0634693
141,0.073245
142,0.0648056
143,0.0881033
144,0.0905286
145,0.0747661
146,0.0616549
147,0.0554181
148,0.0693488
149,0.0837115
150,0.079474
151,0.0872305
152,0.0911472
153,0.0862055
154,0.0822352
155,0.0768804
156,0.0736088
157,0.07592
158,0.0728308
159,0.0778867
160,0.074719
161,0.0769611
162,0.085399
163,0.0785827
164,0.0658965
165,0.0834309
166,0.0775689
167,0.0805756
168,0.0978032
169,0.0887844
170,0.0890296
